      Tomato  Strawberry    Potato  Pomegranate      Plum      Pear     Peach    Orange     Lemon  LadyFinger  Cucumber      Corn  ChilliGreen    Cherry    Carrot  CapsicumGreen  Broccoli   Brinjal     Apple    Banana
27  0.449192    0.454497  0.521331     0.300716  0.383626  0.560510       NaN  0.437507  0.470151    0.595017  0.428535  0.361745     0.920854  0.348897  0.395351       0.484955  0.219718  0.336077  0.380792  0.345401
28  0.490311    0.338759  0.621539     0.398395  0.361833       NaN       NaN  0.326789  0.362706    0.671876  0.458321  0.521112     0.256951  0.476324  0.454250       0.448749  0.278296  0.286631  0.349573  0.463276
29  0.444061    0.292918  0.399104     0.349394  0.332539       NaN       NaN       NaN  0.455579    0.527645  0.483831  0.293631     0.545776  0.283918  0.437069       0.386701  0.276788  0.393440  0.500646  0.415568
30  0.582223    0.347926  0.377710     0.535084  0.333789       NaN       NaN       NaN  0.428583    0.512861  0.501982  0.337043     0.575634  0.210745  0.404377       0.447228  0.273308  0.916982  0.674347       NaN
31  0.477204    0.244205  0.370686     0.223261  0.306785       NaN       NaN       NaN  0.527486    0.233524  0.431910  0.407371     0.562086  0.209580  0.670834       0.909554  0.343620  0.585949  0.500265       NaN
32  0.372502    0.226932  0.484012     0.269046  0.226016       NaN       NaN       NaN  0.306395    0.665520  0.590277  0.263691     0.508939  0.457228  0.460787       0.494932  0.320975  0.412873  0.549485       NaN
33  0.286424    0.290853  0.269887     0.333125  0.245173       NaN       NaN       NaN  0.423434    0.385035  0.538500  0.613080     0.492659  0.345110  0.529574       0.447163  0.263526  0.361179  0.381150       NaN
34  0.349004    0.468659  0.449161     0.227975  0.296754       NaN       NaN       NaN  0.444309    0.495762  0.909498  0.135928     0.498308       NaN  0.439800       0.911383  0.312020  0.480620  0.650629       NaN
35  0.580622         NaN       NaN     0.428913       NaN       NaN       NaN       NaN  0.338879    0.577226       NaN  0.331525     0.407159       NaN  0.554544            NaN       NaN       NaN  0.589120       NaN
36  0.284858         NaN       NaN     0.418971       NaN       NaN       NaN       NaN  0.163874         NaN       NaN       NaN          NaN       NaN  0.414172            NaN       NaN       NaN  0.703382       NaN
37  0.386840         NaN       NaN     0.486819       NaN       NaN       NaN       NaN  0.521366         NaN       NaN       NaN          NaN       NaN  0.345754            NaN       NaN       NaN  0.410949       NaN
38  0.279178         NaN       NaN     0.426383       NaN       NaN       NaN       NaN  0.449031         NaN       NaN       NaN          NaN       NaN  0.429512            NaN       NaN       NaN  0.529442       NaN
39  0.345580         NaN       NaN     0.310626       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN  0.469071       NaN
40  0.297894         NaN       NaN     0.432189       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN  0.471373       NaN
41  0.086591         NaN       NaN     0.321110       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN  0.547590       NaN
42  0.417475         NaN       NaN     0.495417       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN  0.553671       NaN
43  0.386424         NaN       NaN     0.309182       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN  0.630434       NaN
44  0.392898         NaN       NaN     0.451479       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN       NaN       NaN
45  0.400787         NaN       NaN     0.351435       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN       NaN       NaN
46  0.574173         NaN       NaN     0.353796       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN       NaN       NaN
47  0.357811         NaN       NaN     0.273025       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN       NaN       NaN
48       NaN         NaN       NaN     0.288699       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN       NaN       NaN
49       NaN         NaN       NaN     0.284114       NaN       NaN       NaN       NaN       NaN         NaN       NaN       NaN          NaN       NaN       NaN            NaN       NaN       NaN       NaN       NaN
